#KD,SSR
0.00046,2.7948
0.00048,2.6609
0.0005,2.752
0.00052,2.811
0.00054,2.8073
0.00056,2.8984
0.00058,2.7025
0.0006,2.7516
0.00062,2.74
0.00064,2.7837
0.00066,2.7396
0.00068,2.6695
0.0007,2.7035
0.00072,2.7296
0.00074,2.706
0.00076,2.681
0.00078,2.8535
0.0008,2.8436
0.00082,2.5572
0.00084,2.8144
0.00086,2.8475
0.00088,2.7084
0.0009,2.7833
0.00092,2.6446
0.00094,2.7504
0.00096,2.7641
0.00098,2.6138
0.001,2.7586
0.0012,2.7564
0.0014,2.8572
0.0016,2.6966
0.0018,2.7758
0.002,2.7653
0.0022,2.7316
0.0024,2.7436
0.0026,2.8275
0.0028,2.8242
0.003,2.7536
0.0032,2.8194
0.0034,2.7561
0.0036,2.7533
0.0038,2.715
0.004,2.7657
0.0042,2.6788
0.0044,2.8529
0.0046,2.741
0.0048,2.8177
0.005,2.8156
0.0052,2.8361
0.0054,2.7604
0.0056,2.7409
0.0058,2.8302
0.006,2.7699
0.0062,2.74
0.0064,2.7512
0.0066,2.6858
0.0068,2.7153
0.007,2.7519
0.0072,2.7752
0.0074,2.791
0.0076,2.6491
0.0078,2.7022
0.008,2.6876
0.0082,2.8734
0.0084,2.7327
0.0086,2.7981
0.0088,2.9128
0.009,2.7694
0.0092,2.8111
0.0094,2.661
0.0096,2.7647
0.0098,2.8217
