#Pfluor,Pbg,SSR
0.96,0.3,1.649
0.98,0,7.7517
0.98,0.02,6.3039
0.98,0.04,5.0069
0.98,0.06,4.0264
0.98,0.08,3.2839
0.98,0.1,2.6833
0.98,0.12,2.4184
0.98,0.14,2.1527
0.98,0.16,1.9368
0.98,0.18,1.8364
0.98,0.2,1.8072
0.98,0.22,1.7941
0.98,0.24,1.8274
0.98,0.26,1.86
0.98,0.28,1.9482
0.98,0.3,1.8123
1,0,9.4289
1,0.02,7.2037
1,0.04,5.8874
1,0.06,4.6296
1,0.08,4.0111
1,0.1,3.2157
1,0.12,2.853
1,0.14,2.4423
1,0.16,2.3451
1,0.18,2.1143
1,0.2,2.0223
1,0.22,1.9707
1,0.24,1.9237
1,0.26,2.0032
1,0.28,2.1583
1,0.3,2.0321
